Symbol,q1_max,q2_max,q3_max,q4_max,q1_mean,q2_mean,q3_mean,q4_mean,q1_min,q2_min,q3_min,q4_min,q1_std,q2_std,q3_std,q4_std
AIZ,100.85,105.3,106.27,101.8,96.72854839,99.58095238,99.96730159,98.83603175,90.45,92.68,87.74,95.29,2.211100792,3.641259847,5.310833786,1.864530158
AJG,57.76,59.01,61.63,66.96,55.11903226,56.5215873,58.82666667,63.87269841,52.24,54.73,56.76,61.6,1.723672889,1.042554565,1.247346862,1.597276115
AKAM,71.12,62.5,53.28,66.82,65.70532258,52.77111111,47.83126984,55.35126984,59.7,47,44.91,50,3.004274942,5.221385341,2.125573541,4.764049677
ALB,106.21,115.4,136.31,144.58,97.31112903,108.7514286,118.8877778,135.6311111,88.05,103.62,106.03,127.48,5.710352148,3.193750378,7.415374927,4.721227325
ALGN,114.71,153.5,188.78,264.23,101.0150806,135.6179365,171.1990476,227.1446032,89.98,113.73,149.03,185.98,7.506848485,13.14553268,11.85302367,24.73770348
ALK,100.24,92.37,94.63,81.52,94.60822581,87.66936508,81.76603175,71.11079365,86.98,82.19,72.24,61.68,2.680751989,2.570902862,7.146380663,6.42622633
ALL,82.89,89.82,94.7,104.91,78.69629032,84.75507937,90.97380952,98.50015873,73.09,79.73,86.45,91.25,3.316264556,3.02461561,2.166535385,4.589911972
ALLE,75.86,82.17,86.47,89.56,70.61854839,78.2968254,80.82984127,83.78952381,64.5,74.13,77.09,79.56,4.067887778,2.066848017,2.145293793,2.690506265
ALXN,144.77,133.41,146.69,143.84,128.9246774,116.3869841,135.8606349,121.7831746,118.53,97.7,121.08,106.78,6.235278457,9.41757462,6.89196467,12.74423055
AMAT,39.57,47.43,52.09,58.8,35.91241935,42.4984127,45.21873016,54.17460317,31.94,37.52,41.01,49.77,2.166741669,2.671704908,2.059212574,2.44467217
AMD,15.2,14.64,14.76,14.26,12.69387097,12.22388889,13.04730159,11.68587302,9.75,10.04,12.05,9.9,1.559719768,1.246816412,0.663478629,1.402753496
AME,55.31,62.86,66.4,72.87,52.74193548,58.93396825,63.21746032,69.66555556,49.18,53.2,60.91,66.29,1.802639994,2.957639392,1.620445944,2.029791645
